Block Name,Cell ID,vtkOriginalCellIds,Cell Type,T,U_0,U_1,U_2,U_Magnitude,p,rho
internalMesh,0,0,12,1,2.9,-2.38413e-14,0,2.9,1,1.40001
internalMesh,1,1,12,1,2.9,-6.05547e-14,0,2.9,1,1.40001
internalMesh,2,2,12,1,2.9,-3.0807e-14,0,2.9,1,1.40001
internalMesh,3,3,12,1,2.9,4.09133e-14,0,2.9,1,1.40001
internalMesh,4,4,12,1,2.9,3.45662e-14,0,2.9,1,1.40001
internalMesh,5,5,12,1,2.9,2.00698e-14,0,2.9,1,1.40001
internalMesh,6,6,12,1,2.9,-5.8516e-15,0,2.9,1,1.40001
internalMesh,7,7,12,1,2.9,-1.36836e-14,0,2.9,1,1.40001
internalMesh,8,8,12,1,2.9,-6.67784e-15,0,2.9,1,1.40001
internalMesh,9,9,12,1,2.9,9.19466e-16,0,2.9,1,1.40001
internalMesh,10,10,12,1,2.9,2.53712e-14,0,2.9,1,1.40001
internalMesh,11,11,12,1,2.9,2.61484e-14,0,2.9,1,1.40001
internalMesh,12,12,12,1,2.9,1.26772e-14,0,2.9,1,1.40001
internalMesh,13,13,12,1,2.9,9.34903e-16,0,2.9,1,1.40001
internalMesh,14,14,12,1,2.9,-1.56443e-14,0,2.9,1,1.40001
internalMesh,15,15,12,1,2.9,9.42131e-15,0,2.9,1,1.40001
internalMesh,16,16,12,1,2.9,-2.06885e-14,0,2.9,1,1.40001
internalMesh,17,17,12,1,2.9,-4.6119e-14,0,2.9,1,1.40001
internalMesh,18,18,12,1,2.9,-6.20501e-12,0,2.9,1,1.40001
internalMesh,19,19,12,1,2.9,-7.2679e-10,0,2.9,1,1.40001
internalMesh,20,20,12,1,2.9,-6.61678e-08,0,2.9,1,1.40001
internalMesh,21,21,12,1,2.89999,-6.3679e-06,0,2.89999,1.00002,1.40002
internalMesh,22,22,12,1.00014,2.89982,-0.000190909,0,2.89982,1.00048,1.40049
internalMesh,23,23,12,1.00405,2.89423,-0.00463295,0,2.89423,1.01401,1.41389
internalMesh,24,24,12,1.04283,2.84816,-0.0494205,0,2.84859,1.14766,1.54075
internalMesh,25,25,12,1.17135,2.7223,-0.178656,0,2.72816,1.68276,2.01124
internalMesh,26,26,12,1.30798,2.63386,-0.190976,0,2.64077,2.46479,2.6382
internalMesh,27,27,12,1.43384,2.53402,-0.228747,0,2.54432,3.4072,3.32679
internalMesh,28,28,12,1.52032,2.44721,-0.118053,0,2.45006,4.12612,3.79958
internalMesh,29,29,12,1.54678,2.37766,-0.0457491,0,2.3781,4.30893,3.90006
internalMesh,30,30,12,1.53724,2.36206,-0.00919358,0,2.36208,4.21061,3.83472
internalMesh,31,31,12,1.52524,2.3749,0.00387268,0,2.3749,4.11797,3.77985
internalMesh,32,32,12,1.51889,2.38506,0.00155507,0,2.38506,4.09177,3.7715
internalMesh,33,33,12,1.51622,2.39312,0.00163848,0,2.39312,4.06592,3.75427
internalMesh,34,34,12,1.51731,2.39246,0.000262862,0,2.39246,4.0557,3.74215
internalMesh,35,35,12,1.51863,2.38792,-0.00133037,0,2.38792,4.05844,3.74143
internalMesh,36,36,12,1.52027,2.38667,-0.00163156,0,2.38667,4.06687,3.74516
internalMesh,37,37,12,1.52123,2.38707,-0.00161257,0,2.38707,4.07838,3.75338
internalMesh,38,38,12,1.5223,2.3921,-0.000978129,0,2.3921,4.09592,3.76687
internalMesh,39,39,12,1.52416,2.39854,-0.000393763,0,2.39854,4.11599,3.78071
internalMesh,40,40,12,1.52522,2.40019,-0.00022188,0,2.40019,4.12151,3.78316
internalMesh,41,41,12,1.52596,2.39994,-0.000161991,0,2.39994,4.12275,3.78246
internalMesh,42,42,12,1.52612,2.398,-0.000444492,0,2.398,4.1193,3.77888
internalMesh,43,43,12,1.52517,2.39516,-0.000935801,0,2.39516,4.10759,3.7705
internalMesh,44,44,12,1.5238,2.39471,-0.000905228,0,2.39471,4.09921,3.76619
internalMesh,45,45,12,1.52325,2.39534,-0.000674368,0,2.39534,4.09629,3.76486
internalMesh,46,46,12,1.52324,2.39631,-0.00016507,0,2.39631,4.09598,3.76459
internalMesh,47,47,12,1.52436,2.3988,0.000405481,0,2.3988,4.10357,3.76881
internalMesh,48,48,12,1.5254,2.40095,0.000584189,0,2.40095,4.1103,3.77243
internalMesh,49,49,12,1.52535,2.40159,0.000540599,0,2.40159,4.10908,3.77141
internalMesh,50,50,12,1.52503,2.40215,0.000325618,0,2.40215,4.10509,3.76854
internalMesh,51,51,12,1.52424,2.40154,-2.13242e-05,0,2.40154,4.09707,3.76312
internalMesh,52,52,12,1.52382,2.401,-0.000221026,0,2.401,4.09189,3.75941
internalMesh,53,53,12,1.52383,2.40101,-0.000258395,0,2.40101,4.09176,3.75926
internalMesh,54,54,12,1.52408,2.40106,-0.000274806,0,2.40106,4.0934,3.76017
internalMesh,55,55,12,1.52479,2.40128,-0.000263253,0,2.40128,4.09866,3.76323
internalMesh,56,56,12,1.52583,2.40221,-0.000247786,0,2.40221,4.1068,3.76815
internalMesh,57,57,12,1.5264,2.40284,-0.000247621,0,2.40284,4.1116,3.77113
internalMesh,58,58,12,1.5265,2.40269,-0.000250974,0,2.40269,4.11242,3.77163
internalMesh,59,59,12,1.52647,2.40217,-0.000250224,0,2.40217,4.11149,3.77087
internalMesh,60,60,12,1,2.9,-7.87516e-16,0,2.9,1,1.40001
internalMesh,61,61,12,1,2.9,-2.47593e-14,0,2.9,1,1.40001
internalMesh,62,62,12,1,2.9,-2.89529e-14,0,2.9,1,1.40001
internalMesh,63,63,12,1,2.9,5.209e-14,0,2.9,1,1.40001
internalMesh,64,64,12,1,2.9,4.78281e-14,0,2.9,1,1.40001
internalMesh,65,65,12,1,2.9,2.06846e-14,0,2.9,1,1.40001
internalMesh,66,66,12,1,2.9,1.06918e-14,0,2.9,1,1.40001
internalMesh,67,67,12,1,2.9,3.46853e-14,0,2.9,1,1.40001
internalMesh,68,68,12,1,2.9,5.30279e-14,0,2.9,1,1.40001
internalMesh,69,69,12,1,2.9,7.35762e-14,0,2.9,1,1.40001
internalMesh,70,70,12,1,2.9,1.38487e-13,0,2.9,1,1.40001
internalMesh,71,71,12,1,2.9,1.16735e-13,0,2.9,1,1.40001
internalMesh,72,72,12,1,2.9,6.00867e-14,0,2.9,1,1.40001
internalMesh,73,73,12,1,2.9,2.11587e-14,0,2.9,1,1.40001
internalMesh,74,74,12,1,2.9,-3.6031e-14,0,2.9,1,1.40001
internalMesh,75,75,12,1,2.9,4.18172e-14,0,2.9,1,1.40001
internalMesh,76,76,12,1,2.9,-1.80121e-13,0,2.9,1,1.40001
internalMesh,77,77,12,1,2.9,-1.23577e-11,0,2.9,1,1.40001
internalMesh,78,78,12,1,2.9,-1.53265e-09,0,2.9,1,1.40001
internalMesh,79,79,12,1,2.9,-1.29303e-07,0,2.9,1,1.40001
internalMesh,80,80,12,1,2.9,-7.28326e-06,0,2.9,1.00001,1.40002
internalMesh,81,81,12,1.00014,2.89988,-0.000310211,0,2.89988,1.00048,1.40048
internalMesh,82,82,12,1.00213,2.89809,-0.00484689,0,2.89809,1.0074,1.40737
internalMesh,83,83,12,1.02368,2.87527,-0.0523811,0,2.87575,1.08265,1.48066
internalMesh,84,84,12,1.11805,2.80401,-0.192672,0,2.81062,1.43778,1.80036
internalMesh,85,85,12,1.2053,2.67762,-0.445309,0,2.7144,1.82831,2.12366
internalMesh,86,86,12,1.2714,2.62842,-0.455823,0,2.66765,2.20521,2.42828
internalMesh,87,87,12,1.34502,2.56915,-0.301434,0,2.58677,2.70776,2.81846
internalMesh,88,88,12,1.423,2.47466,-0.045303,0,2.47507,3.30572,3.25229
internalMesh,89,89,12,1.48599,2.41917,0.01409,0,2.41921,3.80716,3.58687
internalMesh,90,90,12,1.51659,2.38486,0.0338934,0,2.3851,4.03362,3.72355
internalMesh,91,91,12,1.52816,2.38744,0.0113226,0,2.38747,4.13323,3.78662
internalMesh,92,92,12,1.52735,2.39839,-0.00331432,0,2.39839,4.13647,3.79158
internalMesh,93,93,12,1.52143,2.40483,-0.00140398,0,2.40483,4.09384,3.76711
internalMesh,94,94,12,1.52063,2.40533,-0.00405083,0,2.40533,4.07806,3.75456
internalMesh,95,95,12,1.52083,2.39992,-0.00421257,0,2.39992,4.07085,3.74744
